oaptlocation,destname,daptlocation,oname,dname,tbl,y,quart,origincty,destcty,originname,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,numrecs,x
"Pittsburgh, PA","Washington, DC (Metro Area)","Baltimore, MD","Pittsburgh, PA","Washington, DC (Metro Area)",Table 1,23,20133,30198,30852,"Pittsburgh, PA",210,317.5,174.0520678,WN,49.3324204,149.8253435,US,37.11057857,145.4349816,13,0
"Corpus Christi, TX","Houston, TX","Houston, TX","Corpus Christi, TX","Houston, TX",Table 1,0,20133,31140,31453,"Corpus Christi, TX",201,170.9782609,171.8773172,WN,63.00063573,159.6258628,WN,63.00063573,159.6258628,14,0
"Dallas, TX","Houston, TX","Houston, TX","Dallas, TX","Houston, TX",Table 1,0,20133,30194,31453,"Dallas/Fort Worth, TX",247,2890.76087,169.5803377,WN,64.68885129,173.1286207,AA,20.71818011,163.8188421,15,0
"Nantucket, MA","New York City, NY (Metro Area)","Newark, NJ","Nantucket, MA","New York City, NY (Metro Area)",Table 1,26,20133,30154,31703,"Nantucket, MA",218,363.1521739,166.0908979,B6,70.06884166,163.7635156,DL,25.68093385,159.8001399,16,0
"Dallas, TX","San Antonio, TX","San Antonio, TX","Dallas, TX","San Antonio, TX",Table 1,0,20133,30194,33214,"Dallas/Fort Worth, TX",248,1346.086957,158.6050355,WN,68.69347545,162.1213271,AA,30.21640827,150.3160128,17,0
"St. Louis, MO","Kansas City, MO","Kansas City, MO","St. Louis, MO","Kansas City, MO",Table 1,0,20133,31123,33198,"St. Louis, MO",237,249.2391304,147.8698648,WN,100,147.8698648,WN,100,147.8698648,18,0
"Newburgh/Poughkeepsie, NY","Syracuse, NY","Syracuse, NY","New York City, NY (Metro Area)","Syracuse, NY",Table 1,0,20133,31703,35096,"New York City, NY (Metro Area)",223,365.5434783,144.6654029,B6,63.48498365,139.1748806,B6,63.48498365,139.1748806,1,
"Fort Lauderdale, FL","Tampa, FL (Metro Area)","Tampa, FL","Miami, FL (Metro Area)","Tampa, FL (Metro Area)",Table 1,18,20133,32467,33195,"Miami, FL (Metro Area)",204,750.1086957,143.7367367,WN,52.52861904,158.0546262,AA,44.28343718,130.5883115,20,18
"Seattle, WA","Spokane, WA","Spokane, WA","Seattle, WA","Spokane, WA",Table 1,0,20133,30559,31884,"Seattle, WA",224,849.0217391,133.9202945,AS,99.80796313,133.950186,AS,99.80796313,133.950186,21,0
"Dallas, TX","Tulsa, OK","Tulsa, OK","Dallas, TX","Tulsa, OK",Table 1,0,20133,30194,34653,"Dallas/Fort Worth, TX",237,530.8695652,128.5696683,WN,60.93366093,131.4652251,AA,37.85831286,123.8563602,22,0
"Las Vegas, NV","Los Angeles, CA (Metro Area)","Santa Ana, CA","Las Vegas, NV","Los Angeles, CA (Metro Area)",Table 1,24,20133,32211,32575,"Las Vegas, NV",236,6078.369565,125.3594839,WN,56.87130059,135.6691048,B6,14.88170812,92.14633381,23,0
"Chicago, IL","Cincinnati, OH","Cincinnati, KY","Chicago, IL","Cincinnati, KY",Table 1,0,20133,30977,33105,"Chicago, IL",265,324.4565217,332.2528576,AA,38.52596315,313.0579913,AA,38.52596315,313.0579913,24,0
"Pittsburgh, PA","Philadelphia, PA","Philadelphia, PA","Pittsburgh, PA","Philadelphia, PA",Table 1,0,20133,30198,34100,"Pittsburgh, PA",268,404.7826087,281.0683808,US,90.2792696,285.9055384,DL,2.01396348,166.708,25,0
"Buffalo, NY","Philadelphia, PA","Philadelphia, PA","Buffalo, NY","Philadelphia, PA",Table 1,0,20133,30792,34100,"Buffalo, NY",279,171.3043478,242.5044226,US,88.76903553,250.599757,DL,6.091370558,162.2130208,26,0
"Washington, VA","Syracuse, NY","Syracuse, NY","Washington, DC (Metro Area)","Syracuse, NY",Table 1,0,20133,30852,35096,"Washington, DC (Metro Area)",298,228.8043478,216.3093729,US,77.10213777,200.4656131,US,77.10213777,200.4656131,27,23
"Baltimore, MD","New York City, NY (Metro Area)","Islip, NY","Washington, DC (Metro Area)","New York City, NY (Metro Area)",Table 1,26,20133,30852,31703,"Washington, DC (Metro Area)",264,2537.282609,211.585268,US,31.22563509,233.1390808,DL,28.52246926,,,
"Baltimore, MD","Raleigh/Durham, NC","Raleigh/Durham, NC","Washington, DC (Metro Area)","Raleigh/Durham, NC",Table 1,0,20133,30852,34492,"Washington, DC (Metro Area)",255,844.7826087,206.9379709,WN,43.69531652,163.0886867,DL,15.29850746,139.7765601,29,
"New York, NY","Portland, ME","Portland, ME","New York City, NY (Metro Area)","Portland, ME",Table 1,0,20133,31703,34321,"New York City, NY (Metro Area)",284,687.826087,182.0479646,B6,59.60809102,163.3583112,B6,59.60809102,163.3583112,30,26
"Chicago, IL","Columbus, OH","Columbus, OH","Chicago, IL","Columbus, OH",Table 1,0,20133,30977,31066,"Chicago, IL",296,1134.347826,173.251605,WN,46.61747796,159.2446763,WN,46.61747796,159.2446763,31,0
"Minneapolis, MN","Milwaukee, WI","Milwaukee, WI","Minneapolis, MN","Milwaukee, WI",Table 1,0,20133,31650,33342,"Minneapolis/St. Paul, MN",297,472.173913,172.137332,DL,78.43001842,178.7176959,WN,20.5801105,145.8758389,32,0
"Atlanta, GA","Jacksonville, FL","Jacksonville, FL","Atlanta, GA (Metro Area)","Jacksonville, FL",Table 1,0,20133,30397,31136,"Atlanta, GA (Metro Area)",270,540.1086957,169.4032944,DL,81.90782854,173.5384717,FL,16.36144093,147.4693604,33,20
"Baltimore, MD","Rochester, NY","Rochester, NY","Washington, DC (Metro Area)","Rochester, NY",Table 1,0,20133,30852,34576,"Washington, DC (Metro Area)",296,310.6521739,161.0926942,WN,41.91742477,138.0858765,WN,41.91742477,138.0858765,34,23
"Chicago, IL","Louisville, KY","Louisville, KY","Chicago, IL","Louisville, KY",Table 1,0,20133,30977,33044,"Chicago, IL",287,507.173913,159.0927668,WN,48.84269181,152.9509522,WN,48.84269181,152.9509522,35,0
